Name,"Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description,"Image File"
"Lemon Grass                         organic seed",cabbage,70,28,No,21,,
"Similar to the above with dark",cabbage,70,28,No,21,,
"Hyssop Blue                   VHE260 Lovage",cabbage,70,28,No,21,"Variety code: VHE230",
"Marjoram, Sweet",cabbage,70,28,No,21,"Variety code: VOG800",
Marigold,cabbage,70,28,No,21,,
Rosemary,cabbage,70,28,No,21,"Variety code: VOG805",
"Hyssop, Pink                  VHE270 Marigold, Pot                   Perennial: 13,500 seeds per gram.     VHE360 Rue (Ruta graveolens)",cabbage,70,28,No,21,"Variety code: VHE232",
Tansy,cabbage,70,28,No,21,"Variety code: VHE430",
"Welsh Onion,",cabbage,70,28,No,21,"Variety code: VHE460",
White,cabbage,70,28,No,21,,
Ballot,cabbage,70,28,No,21,,
"I Sage",cabbage,70,28,No,21,,
"Fern-like aromatic leaves and",cabbage,70,28,No,21,,
Jveg,cabbage,70,28,No,21,,
Large,cabbage,70,28,No,21,,
Kveg,cabbage,70,28,No,21,,
"Slightly swollen base at soil level",cabbage,70,28,No,21,,
Lveg,cabbage,70,28,No,21,,
"An early maturing purple variety",cabbage,55,28,No,21,,
"Welsh Onion, Red                 Resistant to bolting, stem splitting",cabbage,70,28,No,21,"Variety code: VHE465",
"Tarragon, Russian            (Allium fistulosum) (not shown)         and lignification. Maturity time is",cabbage,70,28,No,21,"Variety code: VHE440",
"Sage (Salvia officinalis)       Perennial: 6,000 seeds per gram.    Similar to Welsh Onion White but",cabbage,70,28,No,21,"Variety code: VHE370",
Thyme,cabbage,70,28,No,21,,
Spacing,cabbage,70,28,No,21,,
"Savory, Summer                                                       to October. 250,000 seeds per          Ideal variety for early greenhouse",cabbage,55,28,No,21,"Variety code: VHE380",
"Thyme, English               A Kohl Rabi variety produced",cabbage,70,28,No,21,"Variety code: VHE450",
"Savory, Winter                  seasoning and stuffings.               50g       100g       250g",cabbage,90,28,No,21,"Variety code: VHE390",
"Sorrel, Broad                                                                                               VKO22 F1 Kref           Poly Glas",cabbage,70,28,No,21,"Variety code: VHE400",
Noriko,cabbage,70,28,No,21,"Variety code: VOG342",
Leeks,cabbage,70,28,No,21,,
"F1 Exeter",cabbage,70,28,No,21,"Variety code: VLE092",
"A hybrid variety that features a",cabbage,70,28,No,21,,
"Musselburgh                                                    cleaning ability. Good uniformity",cabbage,70,28,No,21,"Variety code: VLE060",
"Zermatt (not shown)                                          10g     25g      50g     100g",cabbage,70,28,No,21,"Variety code: VLE015",
Tadorna,cabbage,70,28,No,21,,
Porbella,cabbage,70,28,No,21,"Variety code: VLE062",
"A blue-green autumn type",cabbage,70,28,No,21,,
"F1 Tempest NEW                                                500sd 1,000sd 2,500sd                                               organic seed                                              foliage and good shank length.",cabbage,70,28,No,21,"Variety code: VLE046",
"A high performing variety with",cabbage,70,28,No,21,,
Variety,cabbage,70,28,No,21,,
"VLE046                                          New",cabbage,70,28,No,21,"Variety code: Tempest F1",
"Musselburgh VLE",cabbage,70,28,No,21,,
VLE092,cabbage,70,28,No,21,"Variety code: Exeter F1",
"A late winter hybrid variety with",cabbage,90,28,No,21,,
"Tornado VLE",cabbage,70,28,No,21,,
"VOG388                             organic option New                                                                                                                                     lodging. Suitable for harvesting",cabbage,70,28,No,21,"Variety code: Oslo F1",
"VLE088                                        New",cabbage,70,28,No,21,"Variety code: Lancaster F1",
"Winter Giant",cabbage,90,28,No,21,,
VLE094,cabbage,70,28,No,21,"Variety code: Odrin F1",
"Eliana                                Analora",cabbage,70,28,No,21,,
"Well suited to sales in packs and",cabbage,70,28,No,21,,
"Approximate crop spacing",cabbage,70,28,No,21,,
Crisp,cabbage,70,28,No,21,,
Butterheads,cabbage,70,28,No,21,,
"Multi and Eazyleaf",cabbage,70,28,No,21,,
Sylvesta,cabbage,70,28,No,21,,
"Marvel of Four 		              nice bubbling. Well closed base.",cabbage,70,28,No,21,"Variety code: VLE345",
"Resistant to Bremia BL",cabbage,70,28,No,21,,
Seasons,cabbage,70,28,No,21,,
"Medium to large sized butterhead",cabbage,70,28,No,21,,
"Sylvesta                      900 seeds per gram.",cabbage,70,28,No,21,"Variety code: VOG418",
"Frank                            Resistant to tipburn. Sow March-             100g       250g",cabbage,70,28,No,21,"Variety code: VLE240",
Aphid,cabbage,70,28,No,21,,
"Sally                       YP                                            VLE685 Tantan",cabbage,70,28,No,21,"Variety code: VLE679",
"Still considered to be one of the",cabbage,70,28,No,21,,
"Sally                      YP      100plt 250plt 500plt 1,000plt                                                 best flavoured Cos varieties. For",cabbage,70,28,No,21,"Variety code: VLE680",
"Very sweet flavour",cabbage,70,28,No,21,,
Xiomara,cabbage,70,28,No,21,"Variety code: VLE686",
"A mini Romaine variety with a fast",cabbage,55,28,No,21,,
"A high quality Winter Gem",cabbage,90,28,No,21,,
"Xiomara                         A Lobjoit’s type but with a pale",cabbage,70,28,No,21,"Variety code: VOG432",
"Features attractive shape with an",cabbage,70,28,No,21,,
"Moonred             YP                                                    VOG462 Jeluna                          developed for babyleaf",cabbage,55,28,No,21,"Variety code: VOG452",
Gondar,cabbage,70,28,No,21,,
Saladin,cabbage,70,28,No,21,"Variety code: VLE560",
"Gondar                            recommended. 800 seeds per gram.       A reliable variety producing a         suitable for ‘cut and come again’",cabbage,70,28,No,21,"Variety code: VLE575",
Emocion,cabbage,70,28,No,21,,
Donovan,cabbage,70,28,No,21,,
Robinson,cabbage,70,28,No,21,"Variety code: VLE594",
"A reliable",cabbage,70,28,No,21,,
"Donovan                           to Bremia BL 17,19. 800 seeds per      against tipburn and bolting. For",cabbage,70,28,No,21,"Variety code: VLE580",
October,cabbage,70,28,No,21,,
"Ezflor NEW",cabbage,70,28,No,21,"Variety code: VLE208",
"Florine Red                     glossy red colour and distinctive",cabbage,70,28,No,21,"Variety code: VLE438",
"Iceberg                                                                  outdoor production. Features           production with one basal cut",cabbage,70,28,No,21,"Variety code: VLE400",
"Vizir                           VLE767 Bolero                      VLE655 Granite                        VLE648 Lea NEW",cabbage,70,28,No,21,"Variety code: VLE756",
Ilema,cabbage,70,28,No,21,,
Alonix,cabbage,70,28,No,21,,
Admir,cabbage,70,28,No,21,,
Solmar,cabbage,70,28,No,21,,
"Admir                           A bright red oakleaf variety.      VOG454 Ilema                          split pills",cabbage,70,28,No,21,"Variety code: VOG461",
"Salad Bowl                  YP",cabbage,70,28,No,21,,
"Green                             Salad Bowl, Green",cabbage,70,28,No,21,"Variety code: VLE670",
"Light green colour",cabbage,70,28,No,21,,
Red,cabbage,70,28,No,21,"Variety code: VLE660",
"Brownish red colour",cabbage,70,28,No,21,,
"A well-filled",cabbage,70,28,No,21,,
"Open leaved lettuce",cabbage,70,28,No,21,,
"Green                                                              Rossa in habit and cropping but       with medium-rough curly texture",cabbage,70,28,No,21,"Variety code: VOG405",
"Red                                                                leaves. 800 seeds per gram.           use; both for indoor and outdoor",cabbage,70,28,No,21,"Variety code: VOG408",
"Chiara (not shown)",cabbage,70,28,No,21,"Variety code: VLE822",
Curled-leaf,cabbage,70,28,No,21,,
"For production under plastic",cabbage,70,28,No,21,,
"M           Matador",cabbage,70,28,No,21,,
"April into modules",cabbage,70,28,No,21,,
Lottie,cabbage,70,28,No,21,,
Charmont,cabbage,70,28,No,21,,
"Matador                   YP",cabbage,70,28,No,21,"Variety code: VLE643",
"A triple red Lollo Rossa variety",cabbage,70,28,No,21,,
Fol,cabbage,70,28,No,21,,
Arcade,cabbage,70,28,No,21,,
"Charantais variety",cabbage,70,28,No,21,,
"Arcade                           Fusarium (0,1,2) and powdery",cabbage,70,28,No,21,"Variety code: VLE814",
"Lollo Rossa            YP       Lettuce Aphid (Nasonovia ribisnigri).",cabbage,70,28,No,21,"Variety code: VLE620",
Galia,cabbage,70,28,No,21,,
Copacabana,cabbage,70,28,No,21,,
"Lollo Rossa",cabbage,70,28,No,21,"Variety code: VOG470",
"A Honeydew F",cabbage,70,28,No,21,,
"Mixed (not shown)               VLE872 Simphony                         The flesh is tender, light green in",cabbage,70,28,No,21,"Variety code: VLE860",
"YP Poly Glas        Onion",cabbage,70,28,No,21,,
"Varieties                            N",cabbage,70,28,No,21,,
Sweet,cabbage,70,28,No,21,,
Marksman,cabbage,70,28,No,21,,
"Fruit normally weigh between            lifting",cabbage,70,28,No,21,,
Reddy,cabbage,70,28,No,21,,
Ramrod,cabbage,70,28,No,21,,
"Redmate                             cropping",cabbage,70,28,No,21,,
Ishikura,cabbage,70,28,No,21,"Variety code: VON165",
"Blood Red Redmate",cabbage,70,28,No,21,,
"F1 Champagne                     popular with the hotel trade.",cabbage,70,28,No,21,"Variety code: VME55",
"YP Poly Glas",cabbage,70,28,No,21,,
"O Onion",cabbage,70,28,No,21,,
Rijnsburger,cabbage,70,28,No,21,,
"A mid to late summer round onion",cabbage,90,28,No,21,,
"YP       Karmen",cabbage,70,28,No,21,,
"A popular crop - long storage",cabbage,90,28,No,21,,
"February - March",cabbage,70,28,No,21,,
Santero,cabbage,70,28,No,21,,
"Bulbs typically",cabbage,70,28,No,21,,
Kosma,cabbage,70,28,No,21,,
"F1 Santero",cabbage,70,28,No,21,"Variety code: VON265",
"F1 Hybound                       500sd 1,000sd 2,500sd                VON080 Kosma",cabbage,70,28,No,21,"Variety code: VON236",
"An early Rijnsburger variety that",cabbage,55,28,No,21,,
"F1 Hybound                                                               Red Baron                             grams each. Attractive light brown",cabbage,70,28,No,21,"Variety code: VON238",
"F1 Hybound NEW                 weigh 250-350 grams from a spring",cabbage,70,28,No,21,"Variety code: VOG494",
"Red Baron              YP",cabbage,70,28,No,21,"Variety code: VON035",
"Long De Florence Simiane",cabbage,90,28,No,21,,
"F1 Fasto",cabbage,55,28,No,21,"Variety code: VON243",
"YP      popular in France and Southern",cabbage,70,28,No,21,,
"F1 Fasto                                                              VOG496 Red Baron                         Europe. Perfect as a raw slicer.",cabbage,55,28,No,21,"Variety code: VON246",
Onion,cabbage,70,28,No,21,,
"Oriental and                           O",cabbage,70,28,No,21,,
"F1 Cupido                        texture, shape and flavour of",cabbage,70,28,No,21,"Variety code: VOS030",
"For lifting towards the end of July",cabbage,70,28,No,21,,
"F1 Element                                                         term storage.",cabbage,90,28,No,21,"Variety code: VON222",
"Heat treatments are used to kill",cabbage,70,28,No,21,,
"F1 Toughball                  bolting in early plantings.                                                  Tall, cyclindrical shaped head, with",cabbage,55,28,No,21,"Variety code: VON225",
"Senshyu (not shown)           and mature in order to achieve                                               colour. Cylindrical shape. Very",cabbage,70,28,No,21,"Variety code: VON100",
"Low percentage of winter kills",cabbage,90,28,No,21,,
"Please note",cabbage,70,28,No,21,,
Questar,cabbage,70,28,No,21,,
Matador,cabbage,70,28,No,21,,
"A wider range of sets",cabbage,70,28,No,21,,
"Red Baron",cabbage,70,28,No,21,,
Corrado,cabbage,70,28,No,21,,
"F1 Questar",cabbage,70,28,No,21,"Variety code: VOR007",
"F1 Matador                    VOS020 F1 Corrado                    VOS045 Red Baron                        shape and nice dark green colour.",cabbage,70,28,No,21,"Variety code: VON300",
"F1 Yuushou                      VOR058 F1 Baraku (not shown)           VOR084 F1 Red (not shown)",cabbage,70,28,No,21,"Variety code: VOR047",
"Pak Choi Micro",cabbage,70,28,No,21,,
Goku,cabbage,70,28,No,21,,
"Green (not shown)               VOR035 Red (not shown)",cabbage,70,28,No,21,"Variety code: VOR060",
"F1 Scarvita                                                                                                       VOR037 Green (not shown)",cabbage,70,28,No,21,"Variety code: VOR009",
"White (not shown)",cabbage,70,28,No,21,"Variety code: VOR062",
"Best suited to autumn production",cabbage,70,28,No,21,,
"Golden (not shown)",cabbage,70,28,No,21,"Variety code: VOR090",
Rozetto,cabbage,70,28,No,21,,
"Joi Choi",cabbage,70,28,No,21,,
"Red Aztec",cabbage,70,28,No,21,,
"F1 Red Lady",cabbage,70,28,No,21,"Variety code: VOR016",
"A hybrid red Pak Choi that offers",cabbage,70,28,No,21,,
"F1 Mei Qing Choi                                                              100g      250g      500g                50g       100g       250g",cabbage,70,28,No,21,"Variety code: VOR045",
"Choy Sum Gunsho",cabbage,70,28,No,21,"Variety code: VOR072",
Rioja,cabbage,70,28,No,21,,
"Scarlet Emperor",cabbage,70,28,No,21,,
April,cabbage,70,28,No,21,,
"Physalis pruinosa",cabbage,70,28,No,21,,
"Chopsuey Greens                  ‘Ground Berry’. A dwarf version",cabbage,70,28,No,21,"Variety code: VOR130",
"Corn Salad Verte                                                                                             product, with Sushi or as garnish.",cabbage,70,28,No,21,"Variety code: VOR010",
"Often known as Lamb",cabbage,70,28,No,21,,
Green,cabbage,70,28,No,21,"Variety code: VOR120",
Mizuna,cabbage,70,28,No,21,"Variety code: VOG485",
"Kailaan Kichi",cabbage,70,28,No,21,"Variety code: VOR074",
"Also known as Chinese Broccoli",cabbage,70,28,No,21,,
"Corn Salad Vit                  stem and bud eating quality. Later     organic seed                         VOR098 Sorrel, Red Veined",cabbage,90,28,No,21,"Variety code: VOG240",
"Komatsuna                          100g       250g       500g",cabbage,70,28,No,21,"Variety code: VOR102",
"Multi-use crop for raising for pot",cabbage,70,28,No,21,,
"P Babyleaf & Salad Mixes herb sales",cabbage,55,28,No,21,,
"Also suited as a standard crop for",cabbage,70,28,No,21,,
"Bravour                 YP                                           Shallow crowns and wedge",cabbage,70,28,No,21,"Variety code: VPA10",
Broad,cabbage,70,28,No,21,,
"Italian Giant                   1,000plt 2,500plt 10,000plt",cabbage,70,28,No,21,"Variety code: VOG525",
"Guernsey (not shown)",cabbage,70,28,No,21,"Variety code: VPA45",
"Long standing",cabbage,90,28,No,21,,
"Champion Moss 		 YP             crop, popular as a large standard    due to its shorter roots. Features",cabbage,70,28,No,21,"Variety code: VPA20",
"Plain Leaf                      large roots with very good canker",cabbage,70,28,No,21,"Variety code: VPA30",
"Large flat leaved type",cabbage,70,28,No,21,,
Gladiator,cabbage,70,28,No,21,,
Komatsuna,cabbage,70,28,No,21,,
"Maincrop Varieties",cabbage,90,28,No,21,,
Peas,cabbage,70,28,No,21,,
"Oasis                               P",cabbage,70,28,No,21,,
Race,cabbage,70,28,No,21,,
"Second early maincrop variety",cabbage,55,28,No,21,,
"Meteor 		                      dwarf (45cm) variety.                     Charlie                            VOG560 Rondo (not shown)",cabbage,70,28,No,21,"Variety code: VPE025",
NEW,cabbage,70,28,No,21,,
"Avola NEW",cabbage,70,28,No,21,"Variety code: VPE012",
"Progress No. 9                                                        extension. Resistant to powdery",cabbage,70,28,No,21,"Variety code: VPE065",
"Wrinkle-seeded second early",cabbage,55,28,No,21,,
"Hurst Greenshaft",cabbage,70,28,No,21,"Variety code: VPE090",
"Progress No. 9                  High yielding variety with dark",cabbage,70,28,No,21,"Variety code: VOG550",
"AGM award winner",cabbage,70,28,No,21,,
"Jubilee                        VOG540 Karina (not shown)                                                    (not shown)",cabbage,70,28,No,21,"Variety code: VPE152",
"A traditional French Petit Pois",cabbage,70,28,No,21,,
"Pepper                                     Apache",cabbage,70,28,No,21,,
"Norli (not shown)                                                        for the home gardener. High",cabbage,70,28,No,21,"Variety code: VOG535",
"Delikett                           April. Seed rate 400-425g per          A dwarf, chili type pepper",cabbage,70,28,No,21,"Variety code: VPE215",
"Sweet Horizon                                                           fruits, ideal for plant sales in pots",cabbage,70,28,No,21,"Variety code: VPE205",
"Resistant to powdery mildew",cabbage,70,28,No,21,,
"Shiraz                                                                                                          VHP58 Red Flame",cabbage,70,28,No,21,"Variety code: VPE250",
"Oregon Sugar Pod               VPE260 Purple Magnolia                   Fruits mature from green to red,",cabbage,70,28,No,21,"Variety code: VPE200",
"Green (not shown)",cabbage,70,28,No,21,"Variety code: VHP80",
"A hybrid Birds Eye type",cabbage,70,28,No,21,,
"Santana (not shown)                                                                                                 but sometimes the overall size",cabbage,70,28,No,21,"Variety code: VHP14",
"Fruit typically",cabbage,70,28,No,21,,
"Scotch Bonnet Red",cabbage,70,28,No,21,"Variety code: VHP36",
"Please take care when handling",cabbage,70,28,No,21,,
"Red                                   50sd      100sd     250sd            VHP78 Trinidad Scorpion",cabbage,70,28,No,21,"Variety code: VHP05",
"Jalapeno M                        feature a distinctive tail and",cabbage,70,28,No,21,"Variety code: VHP44",
"Red                                                                         A well known culinary variety with      red. Maximum fruit size is 5cm x",cabbage,70,28,No,21,"Variety code: VHP21",
"Cayenne Red                        mild and tasty fruits. Produces a       3cm but often the overall size is",cabbage,70,28,No,21,"Variety code: VHP20",
"Orange                             (not shown)                              high yield of fruits typically 8-10cm   smaller. Needs high temperatures",cabbage,70,28,No,21,"Variety code: VHP22",
"Yellow                             A hot, pungent pepper with long,         long, with a blunt end and thick        to germinate with the optimum",cabbage,90,28,No,21,"Variety code: VHP23",
"Black                              red.                                                                             when handling fruit.",cabbage,70,28,No,21,"Variety code: VHP24",
"Tabasco (not shown)",cabbage,70,28,No,21,"Variety code: VHP45",
"Habahot (not shown)                Habanero (not shown)",cabbage,70,28,No,21,"Variety code: VHP16",
"Based upon the traditional",cabbage,70,28,No,21,,
"As used for Tabasco sauce",cabbage,70,28,No,21,,
"White                                 50sd      100sd      250sd",cabbage,70,28,No,21,"Variety code: VHP31",
Quickfire,cabbage,55,28,No,21,,
"Orange                                                                             500sd    1,000sd",cabbage,70,28,No,21,"Variety code: VHP34",
Yellow,cabbage,70,28,No,21,"Variety code: VHP35",
"Quickfire                          reach 0.8-1.3 million SHU at             Biquinho                                The immature fruits, which are",cabbage,55,28,No,21,"Variety code: VHP08",
"Red NEW                            in size and have a mild heat when",cabbage,70,28,No,21,"Variety code: VHP61",
"Rootstock - F",cabbage,70,28,No,21,,
Protector,cabbage,70,28,No,21,"Variety code: VHP96",
"Star Series",cabbage,70,28,No,21,,
"Red Star                                                              which are typically around 7-8cm",cabbage,70,28,No,21,"Variety code: VSW151",
"Golden Star                                                           green to red. Compact growing",cabbage,70,28,No,21,"Variety code: VSW152",
"Resistant to TMV",cabbage,70,28,No,21,,
"Lemon Dream",cabbage,70,28,No,21,,
"Akron (not shown)                VSW159 Star Mix                       VSW160 Mavras (not shown)",cabbage,70,28,No,21,"Variety code: VSW142",
"Elfo                             colours.                              shiny purple, later turning into",cabbage,90,28,No,21,"Variety code: VSW144",
"Deep coloured green to red blocky        Nirvana",cabbage,70,28,No,21,,
"Topepo Giallo                    organic seed                                                                 produced on these attractive,",cabbage,70,28,No,21,"Variety code: VSW172",
"Bendigo (not shown)                                                   coloured, tapered fruits are",cabbage,70,28,No,21,"Variety code: VOG570",
"This green-red pepper has             VSW",cabbage,70,28,No,21,,
"Traditionally stuffed with cheese or",cabbage,70,28,No,21,,
"Potatoes                                  Swift",cabbage,70,28,No,21,,
"Swift                                 Nadine",cabbage,70,28,No,21,,
Nadine,cabbage,70,28,No,21,,
"Pentland Javelin",cabbage,70,28,No,21,,
Salad,cabbage,70,28,No,21,,
Maincrop,cabbage,90,28,No,21,,
"A very popular early scraper",cabbage,55,28,No,21,,
"April at a depth of",cabbage,70,28,No,21,,
Chitting,cabbage,70,28,No,21,,
Kestrel,cabbage,70,28,No,21,,
Eelworm,cabbage,70,28,No,21,,
"Radicchio                                Radish",cabbage,70,28,No,21,,
Rveg,cabbage,70,28,No,21,,
Cara,cabbage,70,28,No,21,,
"Popular salad leaf for the restaurant    space",cabbage,70,28,No,21,,
"Palla Rossa 3                        Bandito",cabbage,70,28,No,21,"Variety code: VRA005",
VPT,cabbage,70,28,No,21,,
"The perfect variety for allotments",cabbage,70,28,No,21,,
"A popular variety and probably the",cabbage,70,28,No,21,,
"Palla Rossa 3                     August. Uniform shape with thick",cabbage,70,28,No,21,"Variety code: VOG595",
"Leonardo                                  Celesta",cabbage,70,28,No,21,,
"Caledonian Rose",cabbage,70,28,No,21,,
"A versatile maincrop variety that",cabbage,90,28,No,21,,
"Leonardo                          organic seed",cabbage,70,28,No,21,"Variety code: VOG593",
Nicola,cabbage,70,28,No,21,,
"F1 Logo",cabbage,70,28,No,21,"Variety code: VRA042",
"A round radish with vibrant violet",cabbage,70,28,No,21,,
"Rocket remains a popular",cabbage,90,28,No,21,,
"Cherry Belle                       onwards. 50-80 seeds per gram.      trade. Produce outside during the",cabbage,70,28,No,21,"Variety code: VRA050",
"Albena (not shown)                                                        Germinates between 10oC and         spring and summer, and under",cabbage,70,28,No,21,"Variety code: VRA135",
"A round radish with white skin and",cabbage,70,28,No,21,,
Seed,cabbage,70,28,No,21,,
"Scarlet Globe                     (not shown)",cabbage,70,28,No,21,"Variety code: VRA060",
"French Breakfast 3                Crowns                              VRO20 Wild (not shown)",cabbage,55,28,No,21,"Variety code: VRA100",
"Oval shaped with white tip",cabbage,70,28,No,21,,
March,cabbage,70,28,No,21,,
"Diana                                                                    charges apply to Rhubarb crowns     especially important. 4,500 sds/",cabbage,70,28,No,21,"Variety code: VRA145",
"China Rose                          10g       25g        50g             growth that doesn’t require         A high quality salad rocket variety.",cabbage,70,28,No,21,"Variety code: VRA080",
"S Spinach",cabbage,70,28,No,21,,
Renegade,cabbage,70,28,No,21,,
"Sprouting Seeds",cabbage,70,28,No,21,,
Harp,cabbage,70,28,No,21,,
"F1 Harp",cabbage,70,28,No,21,"Variety code: VSP22",
"Upright growth aids picking",cabbage,70,28,No,21,,
"F1 Denton (not shown)          with a slightly savoyed texture.",cabbage,70,28,No,21,"Variety code: VSP48",
"F1 Rubino                        A smooth leaved variety suitable     Can be sown from March to",cabbage,70,28,No,21,"Variety code: VSP18",
"Mung Bean                        stir-fries and salads; can be eaten              21/2kg      5kg",leek,120,56,No,21,"Variety code: VOG910",
"Mustard, Brown                                                              VOG925 Red Cabbage",leek,120,56,No,21,"Variety code: VSP76",
"Chinese Cabbage                   have an intense flavour with a          organic seed",leek,120,56,No,21,"Variety code: VSP74",
Pea,leek,120,56,No,21,"Variety code: VOG912",
"Fenugreek                                                                                                           the sandwich trade. Also suitable",leek,120,56,No,21,"Variety code: VSP65",
"Radish Daikon 		                    VSP92 Sunflower (not shown)",leek,120,56,No,21,"Variety code: VSP84",
"Also known as White Radish",leek,120,56,No,21,,
Pepperspark,leek,120,56,No,21,,
"Fenugreek                                                                soups, sandwiches and as a garnish.       4-6 days.",leek,120,56,No,21,"Variety code: VOG907",
"Tosca                                   Atena",leek,120,56,No,21,,
Courgette,leek,120,56,No,21,,
"F1 Atena                YP",leek,120,56,No,21,"Variety code: VMA038",
"The majority of the varieties",leek,120,56,No,21,,
"F1 Midnight             YP            100g      250g        500g",leek,120,56,No,21,"Variety code: VMA105",
"Eight Ball                          hybrids",leek,120,56,No,21,,
"High yielding hybrid courgette",leek,120,56,No,21,,
"A superb variety delivering high",leek,120,56,No,21,,
"F1 Eight Ball         YP                                                makes for easy harvesting. Highly",leek,120,56,No,21,"Variety code: VMA070",
Safari,leek,120,56,No,21,,
"One Ball",leek,120,56,No,21,,
"Tiger Cross",leek,120,56,No,21,,
"F1 Party",leek,120,56,No,21,"Variety code: VMA112",
"YP Poly Glas",leek,120,56,No,21,,
"A high yielding parthenocarpic",leek,120,56,No,21,,
"F1 One Ball               YP    The dark green fruits are typically     A unique variety that produces",leek,120,56,No,21,"Variety code: VMA075",
"The Hallowe",leek,120,56,No,21,,
"A smaller",leek,120,56,No,21,,
"The round fruits feature a bright",leek,120,56,No,21,,
"June direct",leek,120,56,No,21,,
"A semi-bush variety producing",leek,120,56,No,21,,
Trades,leek,120,56,No,21,,
"Consistently delivers high yields",leek,120,56,No,21,,
"Zombie NEW                                                                 50sd 100sd 250sd 500sd",leek,120,56,No,21,"Variety code: VSQ310",
"A scary looking warty variety that",leek,120,56,No,21,,
"F1 Jill Be Little                is great for enhancing Hallowe’en",leek,120,56,No,21,"Variety code: VSQ210",
"Jack O’ Lantern",leek,120,56,No,21,"Variety code: VOG655",
"Mellow Yellow",leek,120,56,No,21,,
"F1 Casperita",leek,120,56,No,21,"Variety code: VSQ230",
"A hybrid",leek,120,56,No,21,,
"F1 Mellow Yellow                 Fruit size 5-7Kg; typically 30cm tall",leek,120,56,No,21,"Variety code: VSQ490",
"Hot Chocolate",leek,140,56,No,21,,
"A unique variety producing bright       by",leek,120,56,No,21,,
Chucky,leek,120,56,No,21,,
Corvette,leek,120,56,No,21,,
"F1 Chucky                                                                                                        ribbing, with strong, well attached",leek,120,56,No,21,"Variety code: VSQ290",
"F1 Camaro                                                                       Uchiki Kuri",leek,120,56,No,21,"Variety code: VSQ584",
"Wicked                                mildew",leek,120,56,No,21,,
"Fruits typically",leek,120,56,No,21,,
"F1 Wicked                         VSQ570 F1 Gladiator                         VSQ080 F1 Hunter                         VSQ650 Uchiki Kuri",leek,120,56,No,21,"Variety code: VSQ550",
"F1 Carrie (not shown)                Big Loretta                              (not shown)   Butternut                  organic seed",leek,120,56,No,21,"Variety code: VSQ510",
"Polar Bear",leek,120,56,No,21,,
"Autumn Crown",leek,120,56,No,21,,
"F1 CargoNEW",leek,120,56,No,21,"Variety code: VSQ450",
"A traditional Jack O",leek,120,56,No,21,,
"F1 Ambermax",leek,120,56,No,21,"Variety code: VSQ680",
"A hybrid variety that produces",leek,120,56,No,21,,
"PYO and commcercial applications",leek,120,56,No,21,,
"F1 Magic Lantern                  white colour that is retained well          VSQ030 F1 Autumn Crown                      Red October",leek,120,56,No,21,"Variety code: VSQ500",
"Atlantic Giant                    ribs/lobes.      Striking red-orange                                                 A hybrid Hubbard variety that",leek,120,56,No,21,"Variety code: VSQ240",
"A hybrid spaghetti squash variety",leek,120,56,No,21,,
Stripetti,leek,120,56,No,21,,
"Summer Squash",leek,120,56,No,21,,
"F1 Crown Prince                                                             Zephyr",leek,120,56,No,21,"Variety code: VSQ250",
"F1 Harlequin                    Grey-skinned variety with bright       VSQ750 Spaghetti",leek,120,56,No,21,"Variety code: VSQ050",
"Features a delicious nutty flavour",leek,120,56,No,21,,
"Patty Pan",leek,120,56,No,21,,
"F1 Rosie NEW                                                            shaped patty pan varieties, with",leek,120,56,No,21,"Variety code: VSQ990",
"F1 Honey Bear                   A stunning pink Kabocha type                                                   scallop edged fruits. All mature",leek,120,56,No,21,"Variety code: VSQ730",
"Golden yellow skin",leek,120,56,No,21,,
"Sweet Lightning",leek,120,56,No,21,,
"F1 Celebration                                                                                                   Sunbeam",leek,120,56,No,21,"Variety code: VSQ800",
"A light yellow",leek,120,56,No,21,,
"A reduced vine hybrid variety that",leek,120,56,No,21,,
Turks,leek,120,56,No,21,"Variety code: VSQ180",
"Turban                      fruits",leek,120,56,No,21,,
Ornamental,leek,120,56,No,21,,
"A crop going through a mini",leek,105,56,No,21,,
"This is a versatile",leek,120,56,No,21,,
"T        revival",leek,120,56,No,21,,
"Gowrie (not shown)                                                              2,500sd 10,000sd",leek,120,56,No,21,"Variety code: VSW010",
"A purple skinned variety that",leek,120,56,No,21,,
"F1 Tweed                                                                 quality and flavour.",leek,120,56,No,21,"Variety code: VSW034",
"Magres (not shown)             VSW012 Gowrie                                                                    VSW078 F1 Golden Fleece",leek,120,56,No,21,"Variety code: VSW002",
"Magres                         and powdery mildew. Excellent",leek,120,56,No,21,"Variety code: VSW003",
"Marian                             250g        500g       1kg           grains on a 20cm long cob. Very",leek,140,56,No,21,"Variety code: VSW030",
"October to January cropping",leek,120,56,No,21,,
"A mid-season SSW",leek,120,56,No,21,,
"Marian                                                                  per cob. Exceptionally sweet            21cm in length, with 14 rows of",leek,120,56,No,21,"Variety code: VSW032",
"An mid-to late season variety",leek,140,56,No,21,,
"An old variety but still as popular",leek,120,56,No,21,,
"F1 Modus",leek,120,56,No,21,"Variety code: VTO010",
"An indeterminate mini plum type",leek,105,56,No,21,,
"F1 Ambrosia",leek,120,56,No,21,"Variety code: VSW094",
Tremolo,leek,120,56,No,21,,
"Unusual types",leek,120,56,No,21,,
