Name,"Variety Code","Crop Type","Days to Maturity","Days to Transplant","Direct Sow","Succession Interval",Description
"Savory, Winter                  seasoning and stuffings.               50g       100g       250g",VHE390,herbs,85,21,No,14,"Variety code: VHE390"
"Sorrel, Broad                                                                                               VKO22 F1 Kref           Poly Glas",VHE400,herbs,65,21,No,14,"Variety code: VHE400"
Noriko,VOG342,lettuce,65,21,No,14,"Variety code: VOG342"
"F1 Exeter",VLE092,lettuce,65,21,No,14,"Variety code: VLE092"
"A hybrid variety that features a",,cucumber,65,21,No,14,
"shelf life p",,cucumber,65,21,No,14,
"Musselburgh                                                    cleaning ability. Good uniformity",VLE060,lettuce,65,21,No,14,"Variety code: VLE060"
"Zermatt (not shown)                                          10g     25g      50g     100g",VLE015,lettuce,65,21,No,14,"Variety code: VLE015"
Tadorna,,cucumber,65,21,No,14,
Porbella,VLE062,lettuce,65,21,No,14,"Variety code: VLE062"
"F1 Tempest NEW                                                500sd 1,000sd 2,500sd                                               organic seed                                              foliage and good shank length.",VLE046,lettuce,65,21,No,14,"Variety code: VLE046"
Leeks,,cucumber,65,21,No,14,
"thick medium length shafts with",,cucumber,65,21,No,14,
Variety,,cucumber,65,21,No,14,
"VLE046                                          New","Tempest F1",cucumber,65,21,No,14,"Variety code: Tempest F1"
Musselburgh,,cucumber,65,21,No,14,
VLE092,"Exeter F1",cucumber,65,21,No,14,"Variety code: Exeter F1"
"A late winter hybrid variety with",,cucumber,85,21,No,14,
Tornado,,cucumber,65,21,No,14,
"VOG388                             organic option New                                                                                                                                     lodging. Suitable for harvesting","Oslo F1",cucumber,65,21,No,14,"Variety code: Oslo F1"
"VLE088                                        New","Lancaster F1",cucumber,65,21,No,14,"Variety code: Lancaster F1"
VLE094,"Odrin F1",cucumber,65,21,No,14,"Variety code: Odrin F1"
"Eliana                                Analora",,cucumber,65,21,No,14,
"veg     A mainstay amongst salad",,cucumber,85,21,No,14,
"round cropping and open",,cucumber,65,21,No,14,
"coloured lettuce are popular with",,lettuce,65,21,No,14,
"Well suited to sales in packs and",,cucumber,65,21,No,14,
"of colours and textures available",,cucumber,65,21,No,14,
"Approximate crop spacing",,cucumber,65,21,No,14,
"spacing varies with production",,cucumber,65,21,No,14,
Sylvesta,,cucumber,65,21,No,14,
"Marvel of Four 		              nice bubbling. Well closed base.",VLE345,lettuce,65,21,No,14,"Variety code: VLE345"
Seasons,,cucumber,65,21,No,14,
"Sylvesta                      900 seeds per gram.",VOG418,lettuce,65,21,No,14,"Variety code: VOG418"
"Frank                            Resistant to tipburn. Sow March-             100g       250g",VLE240,lettuce,65,21,No,14,"Variety code: VLE240"
"split pills",,cucumber,65,21,No,14,
"Sally                       YP                                            VLE685 Tantan",VLE679,lettuce,65,21,No,14,"Variety code: VLE679"
"Still considered to be one of the",,cucumber,65,21,No,14,
"Sally                      YP      100plt 250plt 500plt 1,000plt                                                 best flavoured Cos varieties. For",VLE680,lettuce,65,21,No,14,"Variety code: VLE680"
Xiomara,VLE686,lettuce,65,21,No,14,"Variety code: VLE686"
"A mini Romaine variety with a fast",,cucumber,50,21,No,14,
"Xiomara                         A Lobjoit’s type but with a pale",VOG432,lettuce,65,21,No,14,"Variety code: VOG432"
"Features attractive shape with an",,cucumber,65,21,No,14,
"Moonred             YP                                                    VOG462 Jeluna                          developed for babyleaf",VOG452,lettuce,50,21,No,14,"Variety code: VOG452"
Gondar,,cucumber,65,21,No,14,
Saladin,VLE560,lettuce,65,21,No,14,"Variety code: VLE560"
"Gondar                            recommended. 800 seeds per gram.       A reliable variety producing a         suitable for ‘cut and come again’",VLE575,lettuce,65,21,No,14,"Variety code: VLE575"
Emocion,,cucumber,65,21,No,14,
Donovan,,cucumber,65,21,No,14,
Robinson,VLE594,lettuce,65,21,No,14,"Variety code: VLE594"
"Donovan                           to Bremia BL 17,19. 800 seeds per      against tipburn and bolting. For",VLE580,lettuce,65,21,No,14,"Variety code: VLE580"
"Ezflor NEW",VLE208,lettuce,65,21,No,14,"Variety code: VLE208"
"Florine Red                     glossy red colour and distinctive",VLE438,lettuce,65,21,No,14,"Variety code: VLE438"
"Iceberg                                                                  outdoor production. Features           production with one basal cut",VLE400,lettuce,65,21,No,14,"Variety code: VLE400"
"Vizir                           VLE767 Bolero                      VLE655 Granite                        VLE648 Lea NEW",VLE756,lettuce,65,21,No,14,"Variety code: VLE756"
Ilema,,cucumber,65,21,No,14,
Alonix,,cucumber,65,21,No,14,
Admir,,cucumber,65,21,No,14,
Solmar,,cucumber,65,21,No,14,
"Admir                           A bright red oakleaf variety.      VOG454 Ilema                          split pills",VOG461,lettuce,65,21,No,14,"Variety code: VOG461"
"Salad Bowl                  YP",,cucumber,65,21,No,14,
"Green                             Salad Bowl, Green",VLE670,lettuce,65,21,No,14,"Variety code: VLE670"
Red,VLE660,lettuce,65,21,No,14,"Variety code: VLE660"
"Green                                                              Rossa in habit and cropping but       with medium-rough curly texture",VOG405,lettuce,65,21,No,14,"Variety code: VOG405"
"Red                                                                leaves. 800 seeds per gram.           use; both for indoor and outdoor",VOG408,lettuce,65,21,No,14,"Variety code: VOG408"
"Chiara (not shown)",VLE822,lettuce,65,21,No,14,"Variety code: VLE822"
"For production under plastic",,cucumber,65,21,No,14,
"M           Matador",,cucumber,65,21,No,14,
Lottie,,cucumber,65,21,No,14,
Charmont,,cucumber,65,21,No,14,
"Matador                   YP",VLE643,lettuce,65,21,No,14,"Variety code: VLE643"
"suited to glasshouse and open field",,cucumber,65,21,No,14,
Arcade,,cucumber,65,21,No,14,
"Arcade                           Fusarium (0,1,2) and powdery",VLE814,lettuce,65,21,No,14,"Variety code: VLE814"
"Lollo Rossa            YP       Lettuce Aphid (Nasonovia ribisnigri).",VLE620,lettuce,65,21,No,14,"Variety code: VLE620"
Galia,,cucumber,65,21,No,14,
Copacabana,,cucumber,65,21,No,14,
"Lollo Rossa",VOG470,lettuce,65,21,No,14,"Variety code: VOG470"
"Mixed (not shown)               VLE872 Simphony                         The flesh is tender, light green in",VLE860,lettuce,65,21,No,14,"Variety code: VLE860"
"Varieties                            N",,cucumber,65,21,No,14,
Marksman,,cucumber,65,21,No,14,
Reddy,,cucumber,65,21,No,14,
Ramrod,,cucumber,65,21,No,14,
"the spirit of the classic American",,cucumber,65,21,No,14,
"watermelon but in a more",,cucumber,65,21,No,14,
"superb red bunching onions when",,onion,65,21,No,14,
Ishikura,VON165,onion,65,21,No,14,"Variety code: VON165"
"Blood Red Redmate",,cucumber,65,21,No,14,
"salad onion but also as a bulbing",,onion,65,21,No,14,
"F1 Champagne                     popular with the hotel trade.",VME55,melon,65,21,No,14,"Variety code: VME55"
"YP Poly Glas",,cucumber,65,21,No,14,
"A mid to late summer round onion",,onion,85,21,No,14,
"YP       Karmen",,cucumber,65,21,No,14,
"A popular crop - long storage",,cucumber,85,21,No,14,
Santero,,cucumber,65,21,No,14,
Kosma,,cucumber,65,21,No,14,
"F1 Santero",VON265,onion,65,21,No,14,"Variety code: VON265"
"F1 Hybound                       500sd 1,000sd 2,500sd                VON080 Kosma",VON236,onion,65,21,No,14,"Variety code: VON236"
"An early Rijnsburger variety that",,cucumber,50,21,No,14,
"maturing variety that is also",,cucumber,65,21,No,14,
"F1 Hybound                                                               Red Baron                             grams each. Attractive light brown",VON238,onion,65,21,No,14,"Variety code: VON238"
"F1 Hybound NEW                 weigh 250-350 grams from a spring",VOG494,onion,65,21,No,14,"Variety code: VOG494"
"Red Baron              YP",VON035,onion,65,21,No,14,"Variety code: VON035"
"Long De Florence Simiane",,cucumber,85,21,No,14,
"F1 Fasto",VON243,onion,50,21,No,14,"Variety code: VON243"
"bulbs with an outstanding sweet",,cucumber,65,21,No,14,
"YP      popular in France and Southern",,cucumber,65,21,No,14,
"F1 Fasto                                                              VOG496 Red Baron                         Europe. Perfect as a raw slicer.",VON246,onion,50,21,No,14,"Variety code: VON246"
"F1 Cupido                        texture, shape and flavour of",VOS030,"spring onion",120,56,No,21,"Variety code: VOS030"
"F1 Element                                                         term storage.",VON222,onion,140,56,No,21,"Variety code: VON222"
vegetables,,onion,120,56,No,21,
"Heat treatments are used to kill",,onion,120,56,No,21,
"F1 Toughball                  bolting in early plantings.                                                  Tall, cyclindrical shaped head, with",VON225,onion,105,56,No,21,"Variety code: VON225"
"Senshyu (not shown)           and mature in order to achieve                                               colour. Cylindrical shape. Very",VON100,onion,120,56,No,21,"Variety code: VON100"
"charges apply to Onion sets -",,onion,120,56,No,21,
Questar,,onion,120,56,No,21,
Matador,,onion,120,56,No,21,
"available on our website",,onion,120,56,No,21,
"Red Baron",,onion,120,56,No,21,
Corrado,,onion,120,56,No,21,
"F1 Questar",VOR007,oriental,120,56,No,21,"Variety code: VOR007"
"F1 Matador                    VOS020 F1 Corrado                    VOS045 Red Baron                        shape and nice dark green colour.",VON300,onion,120,56,No,21,"Variety code: VON300"
"F1 Yuushou                      VOR058 F1 Baraku (not shown)           VOR084 F1 Red (not shown)",VOR047,oriental,120,56,No,21,"Variety code: VOR047"
veg,,onion,120,56,No,21,
"Pak Choi Micro",,onion,120,56,No,21,
Goku,,onion,120,56,No,21,
"Green (not shown)               VOR035 Red (not shown)",VOR060,oriental,120,56,No,21,"Variety code: VOR060"
"F1 Scarvita                                                                                                       VOR037 Green (not shown)",VOR009,oriental,120,56,No,21,"Variety code: VOR009"
"White (not shown)",VOR062,oriental,120,56,No,21,"Variety code: VOR062"
"leaves are an intense red-pink",,onion,120,56,No,21,
"spoon shaped leaves and short",,onion,120,56,No,21,
"Golden (not shown)",VOR090,oriental,120,56,No,21,"Variety code: VOR090"
Rozetto,,onion,120,56,No,21,
"Joi Choi",,onion,120,56,No,21,
"Red Aztec",,onion,120,56,No,21,
"F1 Red Lady",VOR016,oriental,120,56,No,21,"Variety code: VOR016"
"A hybrid red Pak Choi that offers",,onion,120,56,No,21,
"F1 Mei Qing Choi                                                              100g      250g      500g                50g       100g       250g",VOR045,oriental,120,56,No,21,"Variety code: VOR045"
"Choy Sum Gunsho",VOR072,oriental,120,56,No,21,"Variety code: VOR072"
Rioja,,onion,120,56,No,21,
"both microgreen and babyleaf",,onion,105,56,No,21,
"Scarlet Emperor",,onion,120,56,No,21,
"Chopsuey Greens                  ‘Ground Berry’. A dwarf version",VOR130,oriental,120,56,No,21,"Variety code: VOR130"
"Corn Salad Verte                                                                                             product, with Sushi or as garnish.",VOR010,oriental,120,56,No,21,"Variety code: VOR010"
Green,VOR120,oriental,120,56,No,21,"Variety code: VOR120"
"organic seed",,onion,120,56,No,21,
Mizuna,VOG485,parsley,120,56,No,21,"Variety code: VOG485"
"Kailaan Kichi",VOR074,oriental,120,56,No,21,"Variety code: VOR074"
"Corn Salad Vit                  stem and bud eating quality. Later     organic seed                         VOR098 Sorrel, Red Veined",VOG240,parsnip,140,56,No,21,"Variety code: VOG240"
"Komatsuna                          100g       250g       500g",VOR102,oriental,120,56,No,21,"Variety code: VOR102"
"Multi-use crop for raising for pot",,onion,120,56,No,21,
"Also suited as a standard crop for",,onion,120,56,No,21,
"Bravour                 YP                                           Shallow crowns and wedge",VPA10,parsnip,120,56,No,21,"Variety code: VPA10"
"Italian Giant                   1,000plt 2,500plt 10,000plt",VOG525,parsley,120,56,No,21,"Variety code: VOG525"
"Guernsey (not shown)",VPA45,parsnip,120,56,No,21,"Variety code: VPA45"
"Champion Moss 		 YP             crop, popular as a large standard    due to its shorter roots. Features",VPA20,parsnip,120,0,Yes,21,"Variety code: VPA20"
"Plain Leaf                      large roots with very good canker",VPA30,parsnip,120,0,Yes,21,"Variety code: VPA30"
Gladiator,,parsnip,120,0,Yes,21,
"organic seed                    YP",,parsnip,120,0,Yes,21,
"Maincrop Varieties",,parsnip,140,0,Yes,21,
"Meteor 		                      dwarf (45cm) variety.                     Charlie                            VOG560 Rondo (not shown)",VPE025,"garden peas",60,0,Yes,14,"Variety code: VPE025"
NEW,,peas,60,0,Yes,14,
"Avola NEW",VPE012,"garden peas",60,0,Yes,14,"Variety code: VPE012"
"Progress No. 9                                                        extension. Resistant to powdery",VPE065,"garden peas",60,0,Yes,14,"Variety code: VPE065"
"Hurst Greenshaft",VPE090,"garden peas",60,0,Yes,14,"Variety code: VPE090"
"Progress No. 9                  High yielding variety with dark",VOG550,peas,60,0,Yes,14,"Variety code: VOG550"
"Jubilee                        VOG540 Karina (not shown)                                                    (not shown)",VPE152,"garden peas",60,0,Yes,14,"Variety code: VPE152"
"A traditional French Petit Pois",,peas,60,0,Yes,14,
"Norli (not shown)                                                        for the home gardener. High",VOG535,peas,75,56,No,21,"Variety code: VOG535"
"Delikett                           April. Seed rate 400-425g per          A dwarf, chili type pepper",VPE215,"garden peas",75,56,No,21,"Variety code: VPE215"
vegetables,,pepper,75,56,No,21,
"Sweet Horizon                                                           fruits, ideal for plant sales in pots",VPE205,"garden peas",75,56,No,21,"Variety code: VPE205"
"Shiraz                                                                                                          VHP58 Red Flame",VPE250,"garden peas",75,56,No,21,"Variety code: VPE250"
"Oregon Sugar Pod               VPE260 Purple Magnolia                   Fruits mature from green to red,",VPE200,"garden peas",75,56,No,21,"Variety code: VPE200"
"Green (not shown)",VHP80,"sweet pepper",75,56,No,21,"Variety code: VHP80"
"Santana (not shown)                                                                                                 but sometimes the overall size",VHP14,"sweet pepper",75,56,No,21,"Variety code: VHP14"
"Scotch Bonnet Red",VHP36,"sweet pepper",75,56,No,21,"Variety code: VHP36"
"Please take care when handling",,pepper,75,56,No,21,
"Red                                   50sd      100sd     250sd            VHP78 Trinidad Scorpion",VHP05,"sweet pepper",75,56,No,21,"Variety code: VHP05"
"Jalapeno M                        feature a distinctive tail and",VHP44,"sweet pepper",75,56,No,21,"Variety code: VHP44"
"Red                                                                         A well known culinary variety with      red. Maximum fruit size is 5cm x",VHP21,"sweet pepper",75,56,No,21,"Variety code: VHP21"
"Cayenne Red                        mild and tasty fruits. Produces a       3cm but often the overall size is",VHP20,"sweet pepper",75,56,No,21,"Variety code: VHP20"
"Orange                             (not shown)                              high yield of fruits typically 8-10cm   smaller. Needs high temperatures",VHP22,"sweet pepper",75,56,No,21,"Variety code: VHP22"
"Yellow                             A hot, pungent pepper with long,         long, with a blunt end and thick        to germinate with the optimum",VHP23,"sweet pepper",95,56,No,21,"Variety code: VHP23"
"Black                              red.                                                                             when handling fruit.",VHP24,"sweet pepper",75,56,No,21,"Variety code: VHP24"
"Tabasco (not shown)",VHP45,"sweet pepper",75,56,No,21,"Variety code: VHP45"
"Habahot (not shown)                Habanero (not shown)",VHP16,"sweet pepper",75,56,No,21,"Variety code: VHP16"
"Based upon the traditional",,pepper,75,56,No,21,
"White                                 50sd      100sd      250sd",VHP31,"sweet pepper",75,56,No,21,"Variety code: VHP31"
Quickfire,,pepper,60,56,No,21,
"Orange                                                                             500sd    1,000sd",VHP34,"sweet pepper",75,56,No,21,"Variety code: VHP34"
Yellow,VHP35,"sweet pepper",75,56,No,21,"Variety code: VHP35"
"wrinkled texture with tender skin",,pepper,75,56,No,21,
"Quickfire                          reach 0.8-1.3 million SHU at             Biquinho                                The immature fruits, which are",VHP08,"sweet pepper",60,56,No,21,"Variety code: VHP08"
"Red NEW                            in size and have a mild heat when",VHP61,"sweet pepper",75,56,No,21,"Variety code: VHP61"
veg,,pepper,75,56,No,21,
Protector,VHP96,"sweet pepper",75,56,No,21,"Variety code: VHP96"
"with both hot and sweet pepper",,"sweet pepper",75,56,No,21,
"Star Series",,pepper,75,56,No,21,
"Red Star                                                              which are typically around 7-8cm",VSW151,sweetcorn,75,56,No,21,"Variety code: VSW151"
"Golden Star                                                           green to red. Compact growing",VSW152,sweetcorn,75,56,No,21,"Variety code: VSW152"
"Lemon Dream",,pepper,75,56,No,21,
"Akron (not shown)                VSW159 Star Mix                       VSW160 Mavras (not shown)",VSW142,sweetcorn,75,56,No,21,"Variety code: VSW142"
"Elfo                             colours.                              shiny purple, later turning into",VSW144,sweetcorn,95,56,No,21,"Variety code: VSW144"
"Deep coloured green to red blocky        Nirvana",,pepper,75,56,No,21,
"Topepo Giallo                    organic seed                                                                 produced on these attractive,",VSW172,sweetcorn,75,56,No,21,"Variety code: VSW172"
"Bendigo (not shown)                                                   coloured, tapered fruits are",VOG570,radish,75,56,No,21,"Variety code: VOG570"
"Traditionally stuffed with cheese or",,pepper,75,56,No,21,
"Potatoes                                  Swift",,pepper,75,56,No,21,
"Swift                                 Nadine",,pepper,75,56,No,21,
Nadine,,pepper,75,56,No,21,
"Pentland Javelin",,pepper,75,56,No,21,
Maincrop,,pepper,95,56,No,21,
"and October when the foliage dies",,pepper,75,56,No,21,
"tubers out in tray with rose end",,pepper,75,56,No,21,
Kestrel,,pepper,75,56,No,21,
"Radicchio                                Radish",,radish,75,56,No,21,
Rveg,,pepper,75,56,No,21,
Cara,,pepper,75,56,No,21,
"yielding a strong red leaf for use in",,pepper,75,56,No,21,
"Palla Rossa 3                        Bandito",VRA005,radish,75,56,No,21,"Variety code: VRA005"
"produces bright red leaves with",,pepper,75,56,No,21,
"Palla Rossa 3                     August. Uniform shape with thick",VOG595,radish,75,56,No,21,"Variety code: VOG595"
"Leonardo                                  Celesta",,pepper,75,56,No,21,
"Caledonian Rose",,pepper,75,56,No,21,
"A versatile maincrop variety that",,pepper,95,56,No,21,
"produces tubers with attractive          Jazzy",,pepper,75,56,No,21,
"organic split pills",,pepper,75,56,No,21,
"Leonardo                          organic seed",VOG593,radish,75,56,No,21,"Variety code: VOG593"
Nicola,,pepper,75,56,No,21,
"F1 Logo",VRA042,radish,75,56,No,21,"Variety code: VRA042"
"A round radish with vibrant violet",,radish,75,56,No,21,
"Cherry Belle                       onwards. 50-80 seeds per gram.      trade. Produce outside during the",VRA050,radish,40,21,No,7,"Variety code: VRA050"
"Albena (not shown)                                                        Germinates between 10oC and         spring and summer, and under",VRA135,radish,40,21,No,7,"Variety code: VRA135"
"used for early forcing or open field",,rocket,25,21,No,7,
Seed,,rocket,40,21,No,7,
vegetables,,rocket,40,21,No,7,
"Scarlet Globe                     (not shown)",VRA060,radish,40,21,No,7,"Variety code: VRA060"
"French Breakfast 3                Crowns                              VRO20 Wild (not shown)",VRA100,radish,25,21,No,7,"Variety code: VRA100"
"Diana                                                                    charges apply to Rhubarb crowns     especially important. 4,500 sds/",VRA145,radish,40,21,No,7,"Variety code: VRA145"
"China Rose                          10g       25g        50g             growth that doesn’t require         A high quality salad rocket variety.",VRA080,radish,40,21,No,7,"Variety code: VRA080"
Renegade,,rocket,40,21,No,7,
"Sprouting Seeds",,rocket,40,21,No,7,
veg,,rocket,40,21,No,7,
Harp,,rocket,40,21,No,7,
"dark green colour to the rounded",,rocket,40,21,No,7,
"F1 Harp",VSP22,spinach,40,21,No,7,"Variety code: VSP22"
"produces large dark green leaves",,rocket,40,21,No,7,
"F1 Denton (not shown)          with a slightly savoyed texture.",VSP48,spinach,40,21,No,7,"Variety code: VSP48"
"F1 Rubino                        A smooth leaved variety suitable     Can be sown from March to",VSP18,spinach,40,21,No,7,"Variety code: VSP18"
"Mung Bean                        stir-fries and salads; can be eaten              21/2kg      5kg",VOG910,spinach,120,56,No,21,"Variety code: VOG910"
"organic seed",,leek,120,56,No,21,
"Mustard, Brown                                                              VOG925 Red Cabbage",VSP76,spinach,120,56,No,21,"Variety code: VSP76"
vegetables,,leek,120,56,No,21,
"Chinese Cabbage                   have an intense flavour with a          organic seed",VSP74,spinach,120,56,No,21,"Variety code: VSP74"
Pea,VOG912,spinach,120,56,No,21,"Variety code: VOG912"
"Fenugreek                                                                                                           the sandwich trade. Also suitable",VSP65,spinach,120,56,No,21,"Variety code: VSP65"
"Radish Daikon 		                    VSP92 Sunflower (not shown)",VSP84,spinach,120,56,No,21,"Variety code: VSP84"
Pepperspark,,"sweet pepper",120,56,No,21,
"Fenugreek                                                                soups, sandwiches and as a garnish.       4-6 days.",VOG907,spinach,120,56,No,21,"Variety code: VOG907"
"Tosca                                   Atena",,leek,120,56,No,21,
veg,,leek,120,56,No,21,
"F1 Atena                YP",VMA038,marrow,55,21,No,14,"Variety code: VMA038"
vegetables,,courgette,55,21,No,14,
"The majority of the varieties",,courgette,55,21,No,14,
"listed as courgettes can also",,courgette,55,21,No,14,
"and uniformity of more modern",,courgette,55,21,No,14,
"F1 Midnight             YP            100g      250g        500g",VMA105,marrow,55,21,No,14,"Variety code: VMA105"
"with an open habit makes for",,courgette,55,21,No,14,
"F1 Eight Ball         YP                                                makes for easy harvesting. Highly",VMA070,marrow,55,21,No,14,"Variety code: VMA070"
Safari,,courgette,55,21,No,14,
"One Ball",,courgette,55,21,No,14,
"Tiger Cross",,courgette,55,21,No,14,
"F1 Party",VMA112,marrow,55,21,No,14,"Variety code: VMA112"
"YP Poly Glas",,courgette,55,21,No,14,
"F1 One Ball               YP    The dark green fruits are typically     A unique variety that produces",VMA075,marrow,55,21,No,14,"Variety code: VMA075"
"The round fruits feature a bright",,courgette,55,21,No,14,
veg,,courgette,55,21,No,14,
"A semi-bush variety producing",,courgette,55,21,No,14,
Trades,,courgette,55,21,No,14,
"variety re-introduced due to popular",,courgette,55,21,No,14,
"Zombie NEW                                                                 50sd 100sd 250sd 500sd",VSQ310,"butternut squash",55,21,No,14,"Variety code: VSQ310"
"A scary looking warty variety that",,courgette,55,21,No,14,
"F1 Jill Be Little                is great for enhancing Hallowe’en",VSQ210,"butternut squash",55,21,No,14,"Variety code: VSQ210"
"Jack O’ Lantern",VOG655,squash,55,21,No,14,"Variety code: VOG655"
"F1 Casperita",VSQ230,"butternut squash",55,21,No,14,"Variety code: VSQ230"
"F1 Mellow Yellow                 Fruit size 5-7Kg; typically 30cm tall",VSQ490,"butternut squash",55,21,No,14,"Variety code: VSQ490"
"Hot Chocolate",,courgette,75,21,No,14,
Chucky,,courgette,55,21,No,14,
"added benefit of powdery mildew",,courgette,55,21,No,14,
"produces attractive round fruits with",,courgette,55,21,No,14,
"F1 Chucky                                                                                                        ribbing, with strong, well attached",VSQ290,"butternut squash",55,21,No,14,"Variety code: VSQ290"
"F1 Camaro                                                                       Uchiki Kuri",VSQ584,"butternut squash",55,21,No,14,"Variety code: VSQ584"
"with improved levels of powdery",,courgette,55,21,No,14,
"vine habit produces attractive round",,courgette,55,21,No,14,
"fruits with classic orange coloured",,courgette,55,21,No,14,
"F1 Wicked                         VSQ570 F1 Gladiator                         VSQ080 F1 Hunter                         VSQ650 Uchiki Kuri",VSQ550,"butternut squash",55,21,No,14,"Variety code: VSQ550"
"pumpkin-like fruits of intense orange",,courgette,55,21,No,14,
"F1 Carrie (not shown)                Big Loretta                              (not shown)   Butternut                  organic seed",VSQ510,"butternut squash",55,21,No,14,"Variety code: VSQ510"
"Polar Bear",,courgette,55,21,No,14,
"Autumn Crown",,courgette,55,21,No,14,
"F1 CargoNEW",VSQ450,"butternut squash",55,21,No,14,"Variety code: VSQ450"
"pumpkin with the added benefit of",,courgette,55,21,No,14,
"intermediate resistance to powdery",,courgette,55,21,No,14,
"F1 Ambermax",VSQ680,"butternut squash",55,21,No,14,"Variety code: VSQ680"
"A hybrid variety that produces",,courgette,55,21,No,14,
"PYO and commcercial applications",,courgette,55,21,No,14,
"F1 Magic Lantern                  white colour that is retained well          VSQ030 F1 Autumn Crown                      Red October",VSQ500,"butternut squash",55,21,No,14,"Variety code: VSQ500"
"Atlantic Giant                    ribs/lobes.      Striking red-orange                                                 A hybrid Hubbard variety that",VSQ240,"butternut squash",55,21,No,14,"Variety code: VSQ240"
Stripetti,,courgette,55,21,No,14,
"flavour and much improved",,courgette,55,21,No,14,
"fruits turn from a cream to orange",,courgette,55,21,No,14,
"Summer Squash",,courgette,55,21,No,14,
"F1 Crown Prince                                                             Zephyr",VSQ250,"butternut squash",55,21,No,14,"Variety code: VSQ250"
"F1 Harlequin                    Grey-skinned variety with bright       VSQ750 Spaghetti",VSQ050,"butternut squash",55,21,No,14,"Variety code: VSQ050"
"Features a delicious nutty flavour",,courgette,55,21,No,14,
"Patty Pan",,courgette,55,21,No,14,
"F1 Rosie NEW                                                            shaped patty pan varieties, with",VSQ990,"butternut squash",55,21,No,14,"Variety code: VSQ990"
"F1 Honey Bear                   A stunning pink Kabocha type                                                   scallop edged fruits. All mature",VSQ730,"butternut squash",55,21,No,14,"Variety code: VSQ730"
"Sweet Lightning",,courgette,55,21,No,14,
"F1 Celebration                                                                                                   Sunbeam",VSQ800,"butternut squash",55,21,No,14,"Variety code: VSQ800"
"A reduced vine hybrid variety that",,courgette,55,21,No,14,
Turks,VSQ180,"butternut squash",55,21,No,14,"Variety code: VSQ180"
"A crop going through a mini",,courgette,40,21,No,14,
"as more modern varieties but still",,courgette,55,21,No,14,
"conversion to starch results",,courgette,55,21,No,14,
"in a sweeter flavour and a",,courgette,55,21,No,14,
"breeding has made swede more",,courgette,55,21,No,14,
"Gowrie (not shown)                                                              2,500sd 10,000sd",VSW010,sweetcorn,85,0,Yes,14,"Variety code: VSW010"
vegetables,,sweetcorn,85,0,Yes,14,
"A purple skinned variety that",,sweetcorn,85,0,Yes,14,
"grown separately from other",,sweetcorn,85,0,Yes,14,
"F1 Tweed                                                                 quality and flavour.",VSW034,sweetcorn,85,0,Yes,14,"Variety code: VSW034"
"Magres (not shown)             VSW012 Gowrie                                                                    VSW078 F1 Golden Fleece",VSW002,sweetcorn,85,0,Yes,14,"Variety code: VSW002"
"quite large which helps with weed",,sweetcorn,85,0,Yes,14,
"Magres                         and powdery mildew. Excellent",VSW003,sweetcorn,85,0,Yes,14,"Variety code: VSW003"
"Marian                             250g        500g       1kg           grains on a 20cm long cob. Very",VSW030,sweetcorn,105,0,Yes,14,"Variety code: VSW030"
"Marian                                                                  per cob. Exceptionally sweet            21cm in length, with 14 rows of",VSW032,sweetcorn,85,0,Yes,14,"Variety code: VSW032"
veg,,sweetcorn,85,0,Yes,14,
"protection this variety also works",,sweetcorn,85,0,Yes,14,
"An old variety but still as popular",,sweetcorn,85,0,Yes,14,
"F1 Modus",VTO010,tomato,85,0,Yes,14,"Variety code: VTO010"
"F1 Ambrosia",VSW094,sweetcorn,85,0,Yes,14,"Variety code: VSW094"
Tremolo,,sweetcorn,85,0,Yes,14,
"F1 Minipop                      (1), Va, Vd and Mj.",VSW090,sweetcorn,70,0,Yes,14,"Variety code: VSW090"
"Ornamental Fiesta               VTO014 Sweet Aperitif                  VTO024 F1 Honeycomb",VSW056,sweetcorn,85,0,Yes,14,"Variety code: VSW056"
"Rubinka                                  Trilly",,sweetcorn,85,0,Yes,14,
"F1 Trilly",VTO032,tomato,85,0,Yes,14,"Variety code: VTO032"
"A mini San Marzano type that",,sweetcorn,70,0,Yes,14,
Cherrola,,sweetcorn,85,0,Yes,14,
Bottondoro,,sweetcorn,85,0,Yes,14,
Rubinka,VTO272,tomato,85,0,Yes,14,"Variety code: VTO272"
"An early maturing variety that",,sweetcorn,70,0,Yes,14,
"F1 Sungold                          sized fruits. Trusses are long and",VTO305,tomato,105,0,Yes,14,"Variety code: VTO305"
"Black Cherry                     eaten fresh from the plant. Ideal",VTO020,tomato,85,0,Yes,14,"Variety code: VTO020"
"F1 Crokini                              Floridity",VTO122,tomato,85,0,Yes,14,"Variety code: VTO122"
"F1 Golden Ruby                  complex flavour that has proved to be",VTO236,tomato,85,0,Yes,14,"Variety code: VTO236"
"F1 Miele",VTO025,tomato,85,0,Yes,14,"Variety code: VTO025"
"F1 Santa Victoria                   (not shown)",VTO128,tomato,85,0,Yes,14,"Variety code: VTO128"
"VTO012                                                 grape                12-14                 red                                                                                     sweet, sharp flavour","Sungrape F1",sweetcorn,85,0,Yes,14,"Variety code: Sungrape F1"
"VTO010                                                 cherry plum             14-16                 red                                                                                     prolific cropper, good shelf life","Modus F1",sweetcorn,85,0,Yes,14,"Variety code: Modus F1"
